horizon,split,corridor,baseline,experiment,signal_count,signals_per_week,delta_lift,delta_lift_ci_low,delta_lift_ci_high,delta_bps,delta_bps_ci_low,delta_bps_ci_high,decision
3,y2022,RUB->TJS,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
3,y2022,RUB->UZS,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
3,wf_oos,RUB->AMD,cbr_full_logreg,cbr_full_catboost,58,0.4215991692627206,-0.09293280530603043,-0.5430156539112405,0.3188523278586312,-6.424839998388341,-57.330355710489144,26.7678563219025,insufficient_frequency
3,wf_oos,RUB->KGS,cbr_full_logreg,cbr_full_catboost,75,0.5451713395638629,0.13318567737172393,-0.3733938144345353,0.5694518280741289,9.766544789320182,-36.318226822234124,43.390839520919755,insufficient_frequency
3,wf_oos,RUB->KZT,cbr_full_logreg,cbr_full_catboost,60,0.4361370716510903,-0.21303163628745014,-0.6063373716870261,0.11074991779380976,-28.22668979917964,-89.18844230203672,11.843667407975872,insufficient_frequency
3,wf_oos,RUB->TJS,cbr_full_logreg,cbr_full_catboost,66,0.4797507788161993,0.03449182396550832,-0.42271083098178713,0.3585755039582513,11.716435986183116,-26.83207482264973,34.73552163719195,insufficient_frequency
3,wf_oos,RUB->UZS,cbr_full_logreg,cbr_full_catboost,71,0.5160955347871236,0.14784523605872768,-0.30405270290440556,0.5268705512213139,-1.6649304983349502,-46.243473595852834,30.16824434600706,insufficient_frequency
3,oot,RUB->AMD,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
3,oot,RUB->KGS,cbr_full_logreg,cbr_full_catboost,1,0.019444444444444445,,,,,,,insufficient_frequency
3,oot,RUB->KZT,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
3,oot,RUB->TJS,cbr_full_logreg,cbr_full_catboost,1,0.019444444444444445,,,,,,,insufficient_frequency
3,oot,RUB->UZS,cbr_full_logreg,cbr_full_catboost,0,0.0,,,,,,,unusable
3,y2022,RUB->AMD,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,y2022,RUB->KGS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,y2022,RUB->KZT,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,y2022,RUB->TJS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,y2022,RUB->UZS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,wf_oos,RUB->AMD,cbr_full_logreg,cbr_context_catboost,18,0.1308411214953271,-0.4083411142234672,-1.0133125343100662,0.3500649115979091,-51.69137225287523,-139.88515342900678,12.822742516563798,insufficient_frequency
3,wf_oos,RUB->KGS,cbr_full_logreg,cbr_context_catboost,24,0.17445482866043613,-0.04035929617324974,-0.5863141910076377,0.31411358193974787,-5.816786193120093,-48.02210181809516,30.134892750833433,insufficient_frequency
3,wf_oos,RUB->KZT,cbr_full_logreg,cbr_context_catboost,22,0.15991692627206644,-0.024989048244862033,-0.7236243426988506,0.9283417257953758,10.467709600631824,-54.928583766166646,84.92339067357383,insufficient_frequency
3,wf_oos,RUB->TJS,cbr_full_logreg,cbr_context_catboost,18,0.1308411214953271,-0.18970503181029486,-0.7226467713685759,0.3583597539324151,19.137964288286057,-27.04742782574215,56.466390771516494,insufficient_frequency
3,wf_oos,RUB->UZS,cbr_full_logreg,cbr_context_catboost,22,0.15991692627206644,0.0747322852586012,-0.4989559426755347,0.9197450972200687,3.0291418096134937,-40.79723503067341,50.2583628838275,insufficient_frequency
3,oot,RUB->AMD,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,oot,RUB->KGS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,oot,RUB->KZT,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,oot,RUB->TJS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
3,oot,RUB->UZS,cbr_full_logreg,cbr_context_catboost,0,0.0,,,,,,,unusable
