horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,signals_per_week,cluster_share,brier_score,experiment,feature_groups
1,RUB->AMD,logreg,y2022,247,18,124,0.4444444444444444,0.5020242914979757,0.5066666666666666,0.8853046594982079,0.8771929824561404,-56.459043621322394,0.3559322033898305,0.0,0.345425577685866,cbr_context_logreg,"A,B,C,D,E"
1,RUB->KGS,logreg,y2022,247,18,123,0.5555555555555556,0.4979757085020243,0.4988888888888889,1.1156278229448962,1.1135857461024499,-15.205916083095694,0.3559322033898305,0.0,0.32516941316820025,cbr_context_logreg,"A,B,C,D,E"
1,RUB->KZT,logreg,y2022,247,14,116,0.42857142857142855,0.46963562753036436,0.47285714285714286,0.9125615763546797,0.9063444108761328,17.11509296647816,0.2768361581920904,0.0,0.3389766520378888,cbr_context_logreg,"A,B,C,D,E"
1,RUB->TJS,logreg,y2022,247,13,131,0.6153846153846154,0.5303643724696356,0.5369230769230771,1.1603053435114503,1.1461318051575928,0.9459389127489769,0.2570621468926554,0.0,0.3225194190383881,cbr_context_logreg,"A,B,C,D,E"
1,RUB->UZS,logreg,y2022,247,18,119,0.4444444444444444,0.4817813765182186,0.5,0.9225023342670401,0.8888888888888888,-36.53417426005782,0.3559322033898305,0.0,0.33262611191363345,cbr_context_logreg,"A,B,C,D,E"
1,RUB->AMD,logreg,wf_oos,656,4,353,1.0,0.538109756097561,0.52,1.8583569405099152,1.923076923076923,23.894467168689502,0.029075804776739354,0.25,0.25184877854923093,cbr_context_logreg,"A,B,C,D,E"
1,RUB->KGS,logreg,wf_oos,656,0,348,,0.5304878048780488,,,,,0.0,,0.25411627932387204,cbr_context_logreg,"A,B,C,D,E"
1,RUB->KZT,logreg,wf_oos,656,0,333,,0.5076219512195121,,,,,0.0,,0.2503476038000324,cbr_context_logreg,"A,B,C,D,E"
1,RUB->TJS,logreg,wf_oos,656,2,361,1.0,0.5503048780487805,0.49,1.817174515235457,2.0408163265306123,58.07147807654399,0.014537902388369677,0.0,0.2505419847765953,cbr_context_logreg,"A,B,C,D,E"
1,RUB->UZS,logreg,wf_oos,656,0,345,,0.5259146341463414,,,,,0.0,,0.2539103159143391,cbr_context_logreg,"A,B,C,D,E"
1,RUB->AMD,logreg,oot,247,12,132,0.8333333333333334,0.5344129554655871,0.535,1.5593434343434343,1.557632398753894,44.56627013592405,0.23076923076923078,0.08333333333333333,0.24589387577087657,cbr_context_logreg,"A,B,C,D,E"
1,RUB->KGS,logreg,oot,247,8,117,0.5,0.47368421052631576,0.43,1.0555555555555556,1.1627906976744187,38.35988750742878,0.15384615384615385,0.0,0.250185653795064,cbr_context_logreg,"A,B,C,D,E"
1,RUB->KZT,logreg,oot,247,8,142,0.875,0.5748987854251012,0.5675,1.5220070422535212,1.5418502202643172,30.661875215518194,0.15384615384615385,0.0,0.25390513720782026,cbr_context_logreg,"A,B,C,D,E"
1,RUB->TJS,logreg,oot,247,10,125,0.9,0.5060728744939271,0.536,1.7784,1.6791044776119401,58.2488979199941,0.19230769230769232,0.0,0.24377372230281888,cbr_context_logreg,"A,B,C,D,E"
1,RUB->UZS,logreg,oot,247,9,136,0.4444444444444444,0.5506072874493927,0.5577777777777778,0.8071895424836601,0.7968127490039839,10.482812452570824,0.17307692307692307,0.0,0.2512633072775517,cbr_context_logreg,"A,B,C,D,E"
1,RUB->AMD,catboost,y2022,247,3,124,1.0,0.5020242914979757,0.4866666666666666,1.991935483870968,2.0547945205479454,17.566182521266796,0.059322033898305086,0.0,0.24868662728719151,cbr_full_catboost,"A,B,C,E"
1,RUB->KGS,catboost,y2022,247,7,123,0.5714285714285714,0.4979757085020243,0.5342857142857143,1.1475029036004645,1.0695187165775402,27.47048773759716,0.1384180790960452,0.0,0.2475814443297334,cbr_full_catboost,"A,B,C,E"
