experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar,lift_ci_low,lift_ci_high,lift_bootstrap_valid,moment_advantage_bps_ci_low,moment_advantage_bps_ci_high,moment_advantage_bps_bootstrap_valid,customer_regret_cvar_95_bps_ci_low,customer_regret_cvar_95_bps_ci_high,customer_regret_cvar_95_bps_bootstrap_valid,lift_at_risk_ci_low,lift_at_risk_ci_high,lift_at_risk_bootstrap_valid
catboost_abcd,KZT,wf_2022,5.0,1,,0.4696356275303643,247,116,2.2745098039215685,0,0,0,0,0,1.0,0.0,51,2022-01-11,2022-12-31,True,,,,,,,,0,,,0,,,0,,,0
catboost_abcd,KZT,wf_2023,5.0,1,0.5789473684210527,0.5587044534412956,247,138,2.7058823529411766,38,38,0,38,0,0.6862745098039216,0.0980392156862745,51,2023-01-10,2023-12-30,True,158.31358642272562,0.4742105263157894,-3.58095413143125,192.66793276909945,6.898802025849307,0.8135650076643516,1.2962997973976598,1000,-7.506417545385549,8.619439590003617,1000,73.20779573464887,297.5341703474421,1000,0.7454480989223069,2.0452227070781683,1000
catboost_abcd,KZT,wf_2024,5.0,1,0.1666666666666666,0.5040322580645161,248,125,2.450980392156863,6,6,0,6,0,0.9019607843137256,0.0,51,2024-01-10,2024-12-29,True,30.560279888359076,0.4508333333333333,27.8011490785576,116.74044924999448,35.57019140099482,0.0,0.9737081692913384,975,-41.35615520527769,-10.08568814353969,975,8.58796993223887,108.30917345877822,975,0.0,1.3968240060040218,963
catboost_abcd,KZT,wf_2025,5.0,1,0.56,0.4347826086956521,161,70,2.0588235294117645,25,25,0,25,0,0.5588235294117647,0.088235294117647,34,2025-01-10,2025-08-30,True,81.55207648337193,0.5068,-8.836078102884978,187.2066503922996,-4.2662388040823025,0.7288742201426026,1.7757448968393326,1000,-47.065268286166095,-0.7946070788436776,1000,45.71895488415301,163.9514879913806,1000,0.9394564099660624,2.531127573536967,1000
catboost_abcd,TJS,oot,5.0,1,1.0,0.5060728744939271,247,125,2.358490566037736,4,4,0,4,0,0.9622641509433962,0.0188679245283018,53,2025-09-02,2026-09-02,True,0.0,0.75875,68.05703221960262,68.20944898029146,142.16998299583284,1.7244949494949495,2.4554455445544554,819,5.679401248550597,17.81042847269876,819,0.0,0.0,819,1.448853954969817,2.746750475458387,792
catboost_abcd,TJS,wf_2022,5.0,1,,0.5303643724696356,247,131,2.5686274509803924,0,0,0,0,0,1.0,0.0,51,2022-01-11,2022-12-31,True,,,,,,,,0,,,0,,,0,,,0
catboost_abcd,TJS,wf_2023,5.0,1,0.4358974358974359,0.5708502024291497,247,141,2.764705882352941,39,39,0,39,0,0.7254901960784313,0.1568627450980392,51,2023-01-10,2023-12-30,True,134.16458596730462,0.3937179487179487,-4.795802457762161,177.4238731718185,-1.4426545451059114,0.6093035777074542,0.976024700524152,999,2.5807394594960824,13.137167514313148,999,57.689103722403466,232.9496537791642,999,0.7158889473168124,1.9245501061907744,999
catboost_abcd,TJS,wf_2024,5.0,1,0.6666666666666666,0.5483870967741935,248,136,2.6666666666666665,6,6,0,6,0,0.8823529411764706,0.0,51,2024-01-10,2024-12-29,True,5.326858269132817,0.5625,6.172692674634617,86.26158164034126,21.194849693257726,0.3965638095238095,1.735181719688761,998,-29.543125591490973,-12.85533689075592,998,0.0,16.056885892556938,998,0.5017697630433369,2.5385529345075715,996
catboost_abcd,TJS,wf_2025,5.0,1,0.5714285714285714,0.5217391304347826,161,84,2.4705882352941178,14,14,0,14,0,0.7647058823529411,0.0588235294117647,34,2025-01-10,2025-08-30,True,25.503873502910057,0.5292857142857144,10.008073660508826,142.9983129077513,21.74392880595629,0.6707984667359668,1.8723667210662311,1000,-32.50429833374007,0.7871223007353825,1000,0.0,42.77382359722193,1000,0.8153174804509564,2.632448971519058,1000
catboost_abcd,UZS,oot,5.0,1,0.75,0.5506072874493927,247,136,2.5660377358490565,4,4,0,4,0,0.9433962264150944,0.0,53,2025-09-02,2026-09-02,True,6.20339731539965,0.76125,37.26601508764904,131.17464862035118,62.88774492888838,0.0,2.0666666666666664,774,-44.426577289770066,2.221647227287349,774,0.0,24.8135892615986,774,0.0,4.281287426653636,774
